STATIONS_ID;MESS_DATUM;QN_4;TT_TER;RF_TER;eor
      19207;2023040100;    3;    7.0;  95.0;eor
      19207;2023040106;    3;    4.6;  91.0;eor
      19207;2023040112;    3;    4.4;  87.0;eor
      19207;2023040118;    3;    3.1;  71.0;eor
      19207;2023040200;    3;    1.9;  71.0;eor
      19207;2023040206;    3;    3.0;  68.0;eor
      19207;2023040212;    3;    7.5;  47.0;eor
      19207;2023040218;    3;    3.6;  63.0;eor
      19207;2023040300;    3;   -1.1;  85.0;eor
      19207;2023040306;    3;    0.8;  72.0;eor
      19207;2023040312;    3;    5.8;  40.0;eor
      19207;2023040318;    3;    3.1;  54.0;eor
      19207;2023040400;    3;   -2.5;  87.0;eor
      19207;2023040406;    3;   -3.0;  92.0;eor
      19207;2023040412;    3;    6.1;  48.0;eor
      19207;2023040418;    3;    4.3;  62.0;eor
      19207;2023040500;    3;   -2.3;  93.0;eor
      19207;2023040506;    3;   -0.8;  89.0;eor
      19207;2023040512;    3;    7.5;  53.0;eor
      19207;2023040518;    3;    4.8;  73.0;eor
      19207;2023040600;    3;   -0.8;  95.0;eor
      19207;2023040606;    3;   -3.0;  97.0;eor
      19207;2023040612;    3;   10.4;  34.0;eor
      19207;2023040618;    3;    8.4;  44.0;eor
      19207;2023040700;    3;    2.1;  77.0;eor
      19207;2023040706;    3;    0.2;  85.0;eor
      19207;2023040712;    3;    4.8;  80.0;eor
      19207;2023040718;    3;    4.5;  89.0;eor
      19207;2023040800;    3;    4.4;  92.0;eor
      19207;2023040806;    3;    3.8;  97.0;eor
      19207;2023040812;    3;    6.2;  88.0;eor
      19207;2023040818;    3;    6.9;  86.0;eor
      19207;2023040900;    3;    5.9;  87.0;eor
      19207;2023040906;    3;    4.7;  91.0;eor
      19207;2023040912;    3;    7.3;  80.0;eor
      19207;2023040918;    3;    7.1;  85.0;eor
      19207;2023041000;    3;    2.3;  89.0;eor
      19207;2023041006;    3;    1.8;  91.0;eor
      19207;2023041012;    3;   16.0;  41.0;eor
      19207;2023041018;    3;   13.7;  53.0;eor
      19207;2023041100;    3;   12.3;  52.0;eor
      19207;2023041106;    3;    8.4;  93.0;eor
      19207;2023041112;    3;   10.0;  71.0;eor
      19207;2023041118;    3;    7.1;  85.0;eor
      19207;2023041200;    3;    2.9;  96.0;eor
      19207;2023041206;    3;    3.6;  90.0;eor
      19207;2023041212;    3;   12.9;  46.0;eor
      19207;2023041218;    3;    8.8;  86.0;eor
      19207;2023041300;    3;    8.2;  94.0;eor
      19207;2023041306;    3;    5.2;  91.0;eor
      19207;2023041312;    3;   10.7;  65.0;eor
      19207;2023041318;    3;   11.2;  67.0;eor
      19207;2023041400;    3;    4.0;  94.0;eor
      19207;2023041406;    3;    5.6;  89.0;eor
      19207;2023041412;    3;    8.8;  91.0;eor
      19207;2023041418;    3;    6.4;  94.0;eor
      19207;2023041500;    3;    7.0;  98.0;eor
      19207;2023041506;    3;    7.4;  94.0;eor
      19207;2023041512;    3;   12.6;  67.0;eor
      19207;2023041518;    3;   10.5;  77.0;eor
      19207;2023041600;    3;    7.2;  89.0;eor
      19207;2023041606;    3;    6.9;  90.0;eor
      19207;2023041612;    3;   10.7;  75.0;eor
      19207;2023041618;    3;    9.3;  72.0;eor
      19207;2023041700;    3;    5.3;  94.0;eor
      19207;2023041706;    3;    6.0;  85.0;eor
      19207;2023041712;    3;    9.9;  64.0;eor
      19207;2023041718;    3;    7.9;  68.0;eor
      19207;2023041800;    3;    4.0;  83.0;eor
      19207;2023041806;    3;    5.1;  85.0;eor
      19207;2023041812;    3;   11.9;  59.0;eor
      19207;2023041818;    3;    9.0;  51.0;eor
      19207;2023041900;    3;    5.0;  62.0;eor
      19207;2023041906;    3;    6.6;  61.0;eor
      19207;2023041912;    3;   11.3;  35.0;eor
      19207;2023041918;    3;    9.1;  40.0;eor
      19207;2023042000;    3;    5.8;  78.0;eor
      19207;2023042006;    3;    5.8;  89.0;eor
      19207;2023042012;    3;   12.3;  69.0;eor
      19207;2023042018;    3;   10.9;  67.0;eor
      19207;2023042100;    3;    6.5;  81.0;eor
      19207;2023042106;    3;    7.5;  74.0;eor
      19207;2023042112;    3;   18.4;  42.0;eor
      19207;2023042118;    3;   13.0;  48.0;eor
      19207;2023042200;    3;    5.0;  82.0;eor
      19207;2023042206;    3;    8.4;  67.0;eor
      19207;2023042212;    3;   20.8;  35.0;eor
      19207;2023042218;    3;   18.8;  46.0;eor
      19207;2023042300;    3;   14.2;  56.0;eor
      19207;2023042306;    3;   12.1;  92.0;eor
      19207;2023042312;    3;   13.0;  65.0;eor
      19207;2023042318;    3;   15.2;  61.0;eor
      19207;2023042400;    3;   11.7;  74.0;eor
      19207;2023042406;    3;   12.2;  73.0;eor
      19207;2023042412;    3;   14.7;  60.0;eor
      19207;2023042418;    3;   11.1;  67.0;eor
      19207;2023042500;    3;    8.3;  82.0;eor
      19207;2023042506;    3;    6.7;  68.0;eor
      19207;2023042512;    3;    8.1;  53.0;eor
      19207;2023042518;    3;    7.4;  58.0;eor
      19207;2023042600;    3;    3.6;  79.0;eor
      19207;2023042606;    3;    4.5;  76.0;eor
      19207;2023042612;    3;   10.4;  47.0;eor
      19207;2023042618;    3;    7.5;  63.0;eor
      19207;2023042700;    3;    1.7;  86.0;eor
      19207;2023042706;    3;    4.0;  82.0;eor
      19207;2023042712;    3;    9.8;  44.0;eor
      19207;2023042718;    3;    8.1;  62.0;eor
      19207;2023042800;    3;    1.7;  91.0;eor
      19207;2023042806;    3;    4.7;  77.0;eor
      19207;2023042812;    3;   13.8;  34.0;eor
      19207;2023042818;    3;   12.9;  48.0;eor
      19207;2023042900;    3;    6.3;  94.0;eor
      19207;2023042906;    3;    7.5;  92.0;eor
      19207;2023042912;    3;   13.3;  48.0;eor
      19207;2023042918;    3;   10.8;  58.0;eor
      19207;2023043000;    3;    5.1;  78.0;eor
      19207;2023043006;    3;    6.0;  63.0;eor
      19207;2023043012;    3;   10.3;  51.0;eor
      19207;2023043018;    3;   10.1;  53.0;eor
      19207;2023050100;    3;    2.8;  89.0;eor
      19207;2023050106;    3;    7.0;  73.0;eor
      19207;2023050112;    3;   15.8;  36.0;eor
      19207;2023050118;    3;   16.0;  47.0;eor
      19207;2023050200;    3;    9.8;  69.0;eor
      19207;2023050206;    3;    7.2;  81.0;eor
      19207;2023050212;    3;    9.5;  52.0;eor
      19207;2023050218;    3;    9.5;  57.0;eor
      19207;2023050300;    3;    3.4;  82.0;eor
      19207;2023050306;    3;    6.1;  83.0;eor
      19207;2023050312;    3;   10.8;  53.0;eor
      19207;2023050318;    3;   10.0;  55.0;eor
      19207;2023050400;    3;    2.4;  94.0;eor
      19207;2023050406;    3;    6.4;  83.0;eor
      19207;2023050412;    3;   13.5;  45.0;eor
      19207;2023050418;    3;   11.7;  57.0;eor
      19207;2023050500;    3;    8.0;  77.0;eor
      19207;2023050506;    3;    8.5;  72.0;eor
      19207;2023050512;    3;   11.5;  60.0;eor
      19207;2023050518;    3;    8.6;  67.0;eor
      19207;2023050600;    3;    6.7;  82.0;eor
      19207;2023050606;    3;    5.1;  90.0;eor
      19207;2023050612;    3;    8.2;  82.0;eor
      19207;2023050618;    3;    8.6;  86.0;eor
      19207;2023050700;    3;    8.0;  90.0;eor
      19207;2023050706;    3;    8.9;  79.0;eor
      19207;2023050712;    3;   16.0;  46.0;eor
      19207;2023050718;    3;   15.5;  45.0;eor
      19207;2023050800;    3;    6.3;  82.0;eor
      19207;2023050806;    3;    8.9;  69.0;eor
      19207;2023050812;    3;   16.9;  33.0;eor
      19207;2023050818;    3;   17.1;  35.0;eor
      19207;2023050900;    3;    9.7;  63.0;eor
      19207;2023050906;    3;   11.1;  54.0;eor
      19207;2023050912;    3;   18.2;  30.0;eor
      19207;2023050918;    3;   17.3;  35.0;eor
      19207;2023051000;    3;   11.2;  59.0;eor
      19207;2023051006;    3;   12.1;  58.0;eor
      19207;2023051012;    3;   20.7;  43.0;eor
      19207;2023051018;    3;   16.6;  69.0;eor
      19207;2023051100;    3;   12.4;  94.0;eor
      19207;2023051106;    3;   12.0;  91.0;eor
      19207;2023051112;    3;   22.0;  37.0;eor
      19207;2023051118;    3;   20.1;  41.0;eor
      19207;2023051200;    3;   13.7;  65.0;eor
      19207;2023051206;    3;   13.3;  57.0;eor
      19207;2023051212;    3;   21.2;  29.0;eor
      19207;2023051218;    3;   18.2;  41.0;eor
      19207;2023051300;    3;    8.1;  83.0;eor
      19207;2023051306;    3;   12.2;  66.0;eor
      19207;2023051312;    3;   21.4;  25.0;eor
      19207;2023051318;    3;   18.7;  38.0;eor
      19207;2023051400;    3;    9.1;  81.0;eor
      19207;2023051406;    3;   11.8;  76.0;eor
      19207;2023051412;    3;   20.6;  33.0;eor
      19207;2023051418;    3;   17.6;  52.0;eor
      19207;2023051500;    3;   12.0;  75.0;eor
      19207;2023051506;    3;   12.8;  78.0;eor
      19207;2023051512;    3;   20.3;  45.0;eor
      19207;2023051518;    3;   16.3;  63.0;eor
      19207;2023051600;    3;   12.5;  80.0;eor
      19207;2023051606;    3;    9.9;  76.0;eor
      19207;2023051612;    3;   13.8;  43.0;eor
      19207;2023051618;    3;   10.4;  59.0;eor
      19207;2023051700;    3;    9.2;  82.0;eor
      19207;2023051706;    3;    8.1;  63.0;eor
      19207;2023051712;    3;   11.9;  51.0;eor
      19207;2023051718;    3;   10.9;  53.0;eor
      19207;2023051800;    3;    4.1;  87.0;eor
      19207;2023051806;    3;    7.0;  77.0;eor
      19207;2023051812;    3;   12.1;  47.0;eor
      19207;2023051818;    3;   11.3;  59.0;eor
      19207;2023051900;    3;    5.0;  88.0;eor
      19207;2023051906;    3;    8.4;  83.0;eor
      19207;2023051912;    3;   17.8;  39.0;eor
      19207;2023051918;    3;   15.4;  38.0;eor
      19207;2023052000;    3;    7.2;  79.0;eor
      19207;2023052006;    3;   11.0;  78.0;eor
      19207;2023052012;    3;   15.2;  63.0;eor
      19207;2023052018;    3;   15.2;  61.0;eor
      19207;2023052100;    3;   10.1;  85.0;eor
      19207;2023052106;    3;   14.6;  77.0;eor
      19207;2023052112;    3;   25.2;  50.0;eor
      19207;2023052118;    3;   21.7;  61.0;eor
      19207;2023052200;    3;   15.5;  75.0;eor
